gid,entidad,geom,fna,gna,nam,fdc,sag
36549,1,POINT(-60.702343 -31.644328),Instituto Universitario del Gran Rosario Sede Santa Fe,Instituto Universitario,del Gran Rosario Sede Santa Fe,Ministerio del Interior,IGN
36550,1,POINT(-61.966086 -33.732628),Instituto Universitario del Gran Rosario Sede Venado Tuerto,Instituto Universitario,del Gran Rosario Sede Venado Tuerto,Ministerio del Interior,IGN
36551,1,POINT(-58.3911189999999 -34.5995359999999),Instituto Universitario Escuela Argentina de Negocios Sede Centro,Instituto Universitario,Escuela Argentina de Negocios Sede Centro,Ministerio del Interior,IGN
36552,1,POINT(-58.4950929999999 -34.5547319999999),Instituto Universitario CEMIC,Instituto Universitario,CEMIC,Ministerio del Interior,IGN
36553,1,POINT(-58.395525 -34.5885049999999),Fundación BARCELÓ Sede Las Heras,,Fundación BARCELÓ Sede Las Heras,Ministerio del Interior,IGN
36554,1,POINT(-66.816378 -29.397847),Fundación BARCELÓ Sede La Rioja,,Fundación BARCELÓ Sede La Rioja,Ministerio del Interior,IGN
36555,1,POINT(-56.0418349999999 -28.5522569999999),Fundación BARCELÓ Sede Santo Tomé,,Fundación BARCELÓ Sede Santo Tomé,Ministerio del Interior,IGN
36556,1,POINT(-58.436921 -34.5680879999999),Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires,Instituto Universitario,de Salud Mental de la Asociación Psicoanalítica de Buenos Aires,Ministerio del Interior,IGN
36557,1,POINT(-60.668396 -32.941584),Instituto Universitario Italiano de Rosario Sede Gobierno,Instituto Universitario,Italiano de Rosario Sede Gobierno,Ministerio del Interior,IGN
36558,1,POINT(-60.637643 -32.9637769999999),Instituto Universitario Italiano de Rosario Facultades de Odontología y Psicología,Instituto Universitario,Italiano de Rosario Facultades de Odontología y Psicología,Ministerio del Interior,IGN
36559,1,POINT(-64.201233358 -31.4421194139999),Instituto Universitario de Ciencias Biomédicas de Córdoba,Instituto Universitario,de Ciencias Biomédicas de Córdoba,Ministerio del Interior,IGN
36560,1,POINT(-58.449404 -34.5467149999999),Instituto Universitario River Plate,Instituto Universitario,River Plate,Ministerio del Interior,IGN
36561,1,POINT(-58.3723859999999 -34.602652),Instituto Universitario YMCA,Instituto Universitario,YMCA,Ministerio del Interior,IGN
36562,1,POINT(-60.526148 -31.7335419999999),Universidad Autónoma de Entre Ríos Sede Paraná,Universidad Autónoma,de Entre Ríos Sede Paraná,Ministerio del Interior,IGN
36563,1,POINT(-60.523585 -31.744384),Universidad Autónoma de Entre Ríos Sede Paraná,Universidad Autónoma,de Entre Ríos Sede Paraná,Ministerio del Interior,IGN
36564,1,POINT(-60.5330749999999 -31.731145),Universidad Autónoma de Entre Ríos Sede Paraná,Universidad Autónoma,de Entre Ríos Sede Paraná,Ministerio del Interior,IGN
36565,1,POINT(-60.5324649999999 -31.736661),Universidad Autónoma de Entre Ríos Sede Paraná,Universidad Autónoma,de Entre Ríos Sede Paraná,Ministerio del Interior,IGN
36566,1,POINT(-58.228513 -32.48543),Universidad Autónoma de Entre Ríos Sede Concepción del Uruguay,Universidad Autónoma,de Entre Ríos Sede Concepción del Uruguay,Ministerio del Interior,IGN
36567,1,POINT(-58.233191 -32.479548),Universidad Autónoma de Entre Ríos Sede Concepción del Uruguay,Universidad Autónoma,de Entre Ríos Sede Concepción del Uruguay,Ministerio del Interior,IGN
36568,1,POINT(-58.23303 -32.484414),Universidad Autónoma de Entre Ríos Sede Concepción del Uruguay,Universidad Autónoma,de Entre Ríos Sede Concepción del Uruguay,Ministerio del Interior,IGN
36569,1,POINT(-58.51582 -33.007267),Universidad Autónoma de Entre Ríos Sede Gualeguaychú,Universidad Autónoma,de Entre Ríos Sede Gualeguaychú,Ministerio del Interior,IGN
36570,1,POINT(-58.511202 -33.0101),Universidad Autónoma de Entre Rios Sede Gualeguaychú,Universidad Autónoma,de Entre Rios Sede Gualeguaychú,Ministerio del Interior,IGN
36571,1,POINT(-58.5099289999999 -33.009382),Universidad Autónoma de Entre Ríos Sede Gualeguaychú,Universidad Autónoma,de Entre Ríos Sede Gualeguaychú,Ministerio del Interior,IGN
36572,1,POINT(-58.015656 -31.397185),Universidad Autónoma de Entre Ríos Sede Concordia,Universidad Autónoma,de Entre Ríos Sede Concordia,Ministerio del Interior,IGN
36573,1,POINT(-60.521919 -31.83415),Universidad Autónoma de Entre Ríos Sede Oro Verde,Universidad Autónoma,de Entre Ríos Sede Oro Verde,Ministerio del Interior,IGN
36574,1,POINT(-59.0276499999999 -31.867828),Universidad Autónoma de Entre Ríos Sede Villaguay,Universidad Autónoma,de Entre Ríos Sede Villaguay,Ministerio del Interior,IGN
36575,1,POINT(-60.635326 -32.0680219999999),Universidad Autónoma de Entre Ríos Sede Diamante,Universidad Autónoma,de Entre Ríos Sede Diamante,Ministerio del Interior,IGN
