gid,entidad,geom,fna,gna,nam,fdc,sag
33470,1,POINT(-58.861477 -34.443518),Universidad de Ciencias Empresariales y Sociales Sede Pilar,Universidad,de Ciencias Empresariales y Sociales Sede Pilar,Ministerio del Interior,IGN
33471,1,POINT(-58.767375 -35.051303),Universidad de Ciencias Empresariales y Sociales Sede Cañuelas,Universidad,de Ciencias Empresariales y Sociales Sede Cañuelas,Ministerio del Interior,IGN
33472,1,POINT(-62.109296 -31.420745),Universidad de Ciencias Empresariales y Sociales Sede San Francisco,Universidad,de Ciencias Empresariales y Sociales Sede San Francisco,Ministerio del Interior,IGN
33473,1,POINT(-61.4905679999999 -31.243895),Universidad de Ciencias Empresariales y Sociales Sede Rafaela,Universidad,de Ciencias Empresariales y Sociales Sede Rafaela,Ministerio del Interior,IGN
33474,1,POINT(-61.96284 -33.7471459999999),Universidad de Ciencias Empresariales y Sociales Sede Venado Tuerto,Universidad,de Ciencias Empresariales y Sociales Sede Venado Tuerto,Ministerio del Interior,IGN
33475,1,POINT(-60.7117509999999 -31.6554199999999),Universidad de Ciencias Empresariales y Sociales Sede Santa Fe,Universidad,de Ciencias Empresariales y Sociales Sede Santa Fe,Ministerio del Interior,IGN
33476,1,POINT(-59.6406029999999 -29.149984),Universidad de Ciencias Empresariales y Sociales Sede Reconquista,Universidad,de Ciencias Empresariales y Sociales Sede Reconquista,Ministerio del Interior,IGN
33477,1,POINT(-58.981208 -27.4495219999999),Universidad de Ciencias Empresariales y Sociales Sede Resistencia,Universidad,de Ciencias Empresariales y Sociales Sede Resistencia,Ministerio del Interior,IGN
33478,1,POINT(-65.302946 -24.1838289999999),Universidad de Ciencias Empresariales y Sociales Sede San Salvador de Jujuy,Universidad,de Ciencias Empresariales y Sociales Sede San Salvador de Jujuy,Ministerio del Interior,IGN
33479,1,POINT(-67.7263660419999 -53.785868707),Universidad de Ciencias Empresariales y Sociales Sede Rio Grande,Universidad,de Ciencias Empresariales y Sociales Sede Rio Grande,Ministerio del Interior,IGN
33480,1,POINT(-68.280355 -54.798628),Universidad de Ciencias Empresariales y Sociales Sede Ushuaia,Universidad,de Ciencias Empresariales y Sociales Sede Ushuaia,Ministerio del Interior,IGN
33481,1,POINT(-58.229542 -32.4819219999999),Universidad de Concepción del Uruguay Sede Central,Universidad,de Concepción del Uruguay Sede Central,Ministerio del Interior,IGN
33482,1,POINT(-59.0275839999999 -31.8686769999999),Universidad de Concepción del Uruguay Extensión Áulica Villaguay,Universidad,de Concepción del Uruguay Extensión Áulica Villaguay,Ministerio del Interior,IGN
33483,1,POINT(-58.010522 -31.398073),Universidad de Concepción del Uruguay Extensión Áulica Concordia,Universidad,de Concepción del Uruguay Extensión Áulica Concordia,Ministerio del Interior,IGN
33484,1,POINT(-59.308165 -33.1497419999999),Universidad de Concepción del Uruguay Extensión Gualeguay,Universidad,de Concepción del Uruguay Extensión Gualeguay,Ministerio del Interior,IGN
33485,1,POINT(-60.528985 -31.736938),Universidad de Concepción del Uruguay Centro Regional del Río Parana,Universidad,de Concepción del Uruguay Centro Regional del Río Parana,Ministerio del Interior,IGN
33486,1,POINT(-60.647275 -32.95607),Universidad de Concepción del Uruguay Centro Regional Rosario,Universidad,de Concepción del Uruguay Centro Regional Rosario,Ministerio del Interior,IGN
33487,1,POINT(-68.841673 -32.8949229999999),Universidad de Congreso Sede Mendoza,Universidad,de Congreso Sede Mendoza,Ministerio del Interior,IGN
33488,1,POINT(-68.3305549999999 -34.6116749999999),Universidad de Congreso Sede San Rafael,Universidad,de Congreso Sede San Rafael,Ministerio del Interior,IGN
33489,1,POINT(-68.476061 -33.090245),Universidad de Congreso Campus Universitario Zona Este San Martín,Universidad,de Congreso Campus Universitario Zona Este San Martín,Ministerio del Interior,IGN
33490,1,POINT(-64.1854989999999 -31.4232039999999),Universidad de Congreso Sede Córdoba,Universidad,de Congreso Sede Córdoba,Ministerio del Interior,IGN
33491,1,POINT(-68.5273309999999 -31.535854),Universidad de Congreso Sede San Juan,Universidad,de Congreso Sede San Juan,Ministerio del Interior,IGN
34788,1,POINT(-65.398747 -24.788765),Universidad de Morón Anexo Salta,Universidad,de Morón Anexo Salta,Ministerio del Interior,IGN
34745,1,POINT(-58.392149 -34.6073739999999),Universidad de Congreso Sede Buenos Aires,Universidad,de Congreso Sede Buenos Aires,Ministerio del Interior,IGN
34746,1,POINT(-58.471196 -34.628572),Universidad de Flores Sede Buenos Aires,Universidad,de Flores Sede Buenos Aires,Ministerio del Interior,IGN
34747,1,POINT(-58.46287 -34.632513),Universidad de Flores Sede Pedernera,Universidad,de Flores Sede Pedernera,Ministerio del Interior,IGN
34748,1,POINT(-68.0026224499999 -38.9402027629999),Universidad de Flores Sede Comahue,Universidad,de Flores Sede Comahue,IGN04/UFLO,IGN
34749,1,POINT(-58.691449 -34.5656509999999),Universidad de Flores Anexo San Miguel,Universidad,de Flores Anexo San Miguel,Ministerio del Interior,IGN
34750,1,POINT(-58.851436 -27.475163),Universidad de la Cuenca del Plata Sede Corrientes,Universidad,de la Cuenca del Plata Sede Corrientes,Ministerio del Interior,IGN
34751,1,POINT(-59.257807 -29.1343269999999),Universidad de la Cuenca del Plata Sede Goya,Universidad,de la Cuenca del Plata Sede Goya,Ministerio del Interior,IGN
34752,1,POINT(-57.095332 -29.7104849999999),Universidad de la Cuenca del Plata Sede Paso de los Libres,Universidad,de la Cuenca del Plata Sede Paso de los Libres,Ministerio del Interior,IGN
34753,1,POINT(-58.05062 -29.790769),Universidad de la Cuenca del Plata Sede Curuzú Cuatiá,Universidad,de la Cuenca del Plata Sede Curuzú Cuatiá,Ministerio del Interior,IGN
34754,1,POINT(-55.9012059999999 -27.3752299999999),Universidad de la Cuenca del Plata Sede Posadas,Universidad,de la Cuenca del Plata Sede Posadas,Ministerio del Interior,IGN
34755,1,POINT(-58.215044 -26.193744),Universidad de la Cuenca del Plata Sede Formosa,Universidad,de la Cuenca del Plata Sede Formosa,Ministerio del Interior,IGN
34756,1,POINT(-58.994609 -27.452191),Universidad de la Cuenca del Plata Sede Resistencia,Universidad,de la Cuenca del Plata Sede Resistencia,Ministerio del Interior,IGN
34757,1,POINT(-57.557492 -38.0031729999999),Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino Edificio Rectorado,Universidad,de la Fraternidad de Agrupaciones Santo Tomás de Aquino Edificio Rectorado,Ministerio del Interior,IGN
34758,1,POINT(-57.557497 -38.00317),Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino Edificio San Vicente de Paul,Universidad,de la Fraternidad de Agrupaciones Santo Tomás de Aquino Edificio San Vicente de Paul,Ministerio del Interior,IGN
34759,1,POINT(-57.5635329999999 -38.0068029999999),Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino Edificio San Alberto Magno,Universidad,de la Fraternidad de Agrupaciones Santo Tomás de Aquino Edificio San Alberto Magno,Ministerio del Interior,IGN
34760,1,POINT(-59.141404 -37.3370629999999),Universidad de la Fraternidad de Agrupaciones Santo Tomás de Aquino Sede Tandil,Universidad,de la Fraternidad de Agrupaciones Santo Tomás de Aquino Sede Tandil,Ministerio del Interior,IGN
34761,1,POINT(-58.398406 -34.609725),Universidad de la Marina Mercante Sede Central,Universidad,de la Marina Mercante Sede Central,Ministerio del Interior,IGN
34762,1,POINT(-68.8616489999999 -32.891745),Universidad de Mendoza Sede Central,Universidad,de Mendoza Sede Central,Ministerio del Interior,IGN
34763,1,POINT(-68.327151 -34.613513),Universidad de Mendoza Sede San Rafael,Universidad,de Mendoza Sede San Rafael,Ministerio del Interior,IGN
34764,1,POINT(-64.346368 -33.123775),Universidad de Mendoza Sede Río Cuarto,Universidad,de Mendoza Sede Río Cuarto,Ministerio del Interior,IGN
34765,1,POINT(-67.999889212 -38.9393941179999),Universidad de Mendoza Sede Cipolletti,Universidad,de Mendoza Sede Cipolletti,IGN04/Sitio Web de la Institución,IGN
34766,1,POINT(-58.6198259999999 -34.6466119999999),Universidad de Morón Sede Cental,Universidad,de Morón Sede Cental,Ministerio del Interior,IGN
34767,1,POINT(-58.7918759999999 -34.6351769999999),Universidad de Morón Anexo Moreno,Universidad,de Morón Anexo Moreno,Ministerio del Interior,IGN
34768,1,POINT(-58.5810759999999 -34.642778),Universidad de Morón Anexo Haedo,Universidad,de Morón Anexo Haedo,Ministerio del Interior,IGN
34769,1,POINT(-58.56740705 -34.426793646),Universidad de Morón Anexo Tigre,Universidad,de Morón Anexo Tigre,Ministerio del Interior,IGN
34770,1,POINT(-58.5402339999999 -34.580907),Universidad de Morón Anexo San Martín,Universidad,de Morón Anexo San Martín,Ministerio del Interior,IGN
34771,1,POINT(-59.034073 -34.083765),Universidad de Morón Anexo Zarate,Universidad,de Morón Anexo Zarate,Ministerio del Interior,IGN
34772,1,POINT(-57.5516469999999 -37.997067),Universidad de Morón Anexo Escuela Privada de Sanidad,Universidad,de Morón Anexo Escuela Privada de Sanidad,Ministerio del Interior,IGN
34773,1,POINT(-57.5617359999999 -38.0160779999999),Universidad de Morón Anexo Instituto Superior IDRA,Universidad,de Morón Anexo Instituto Superior IDRA,Ministerio del Interior,IGN
34774,1,POINT(-57.950711 -34.91169),Universidad de Morón Anexo Judicial de La Plata,Universidad,de Morón Anexo Judicial de La Plata,Ministerio del Interior,IGN
34775,1,POINT(-59.4308829999999 -34.647236),Universidad de Morón Anexo Judicial de Mercedes,Universidad,de Morón Anexo Judicial de Mercedes,Ministerio del Interior,IGN
34776,1,POINT(-58.377601 -34.6071059999999),Universidad de Morón Anexo CIA,Universidad,de Morón Anexo CIA,Ministerio del Interior,IGN
34777,1,POINT(-58.4933839999999 -34.57708),Universidad de Morón Anexo Tomás Devoto,Universidad,de Morón Anexo Tomás Devoto,Ministerio del Interior,IGN
34778,1,POINT(-58.392235 -34.606127),Universidad de Morón Anexo Instituto Argentino de Seguridad,Universidad,de Morón Anexo Instituto Argentino de Seguridad,Ministerio del Interior,IGN
34779,1,POINT(-58.434467 -34.614857),Universidad de Morón Anexo Caballito,Universidad,de Morón Anexo Caballito,Ministerio del Interior,IGN
34780,1,POINT(-58.4170549999999 -34.59899),Universidad de Morón Anexo Academico AADI,Universidad,de Morón Anexo Academico AADI,Ministerio del Interior,IGN
34781,1,POINT(-58.383818 -34.595404),Universidad de Morón Anexo Asociación Médica Argentina,Universidad,de Morón Anexo Asociación Médica Argentina,Ministerio del Interior,IGN
34782,1,POINT(-58.430942 -34.6150039999999),Universidad de Morón Anexo Círculo Argentino de Odontología,Universidad,de Morón Anexo Círculo Argentino de Odontología,Ministerio del Interior,IGN
34783,1,POINT(-58.40104 -34.636434),Universidad de Morón Anexo Parque Patricios,Universidad,de Morón Anexo Parque Patricios,Ministerio del Interior,IGN
34784,1,POINT(-58.383596 -34.5966759999999),Universidad de Morón Anexo ABM,Universidad,de Morón Anexo ABM,Ministerio del Interior,IGN
34785,1,POINT(-64.187825 -31.404941),Universidad de Morón Anexo ISCET,Universidad,de Morón Anexo ISCET,Ministerio del Interior,IGN
34786,1,POINT(-64.1767220629999 -31.4202932069999),Universidad de Morón Anexo Instituto Argentino de Prótesis Dental,Universidad,de Morón Anexo Instituto Argentino de Prótesis Dental,Ministerio del Interior,IGN
34787,1,POINT(-55.898565 -27.4014979999999),Universidad de Morón Anexo Misiones,Universidad,de Morón Anexo Misiones,Ministerio del Interior,IGN
34789,1,POINT(-68.0564410169999 -38.952120572),Universidad de Morón Anexo Centro de Estudios Terciarios del Comahue,Universidad,de Morón Anexo Centro de Estudios Terciarios del Comahue,IGN04/UM,IGN
34790,1,POINT(-68.048781307 -38.954965886),Universidad de Morón Anexo Instituto Terciario SENECA S.A.,Universidad,de Morón Anexo Instituto Terciario SENECA S.A.,IGN04/UM,IGN
34791,1,POINT(-67.574556472 -39.023533156),Universidad de Morón - Anexo KB - Instituto de Educación Terciaria,Universidad,de Morón - Anexo KB - Instituto de Educación Terciaria,IGN04/Mapa Educativo,IGN
34792,1,POINT(-58.988956 -27.457725),Universidad de Morón Anexo Chaco,Universidad,de Morón Anexo Chaco,Ministerio del Interior,IGN
34793,1,POINT(-58.415925 -34.5973349999999),Universidad de Palermo,Universidad,de Palermo,Ministerio del Interior,IGN
34794,1,POINT(-58.41577 -34.597316),Universidad de Palermo Sede Central,Universidad,de Palermo Sede Central,Ministerio del Interior,IGN
34795,1,POINT(-58.415379 -34.5964749999999),Universidad de Palermo,Universidad,de Palermo,Ministerio del Interior,IGN
34796,1,POINT(-58.406042 -34.59914),Universidad de Palermo,Universidad,de Palermo,Ministerio del Interior,IGN
34797,1,POINT(-58.4070649999999 -34.599257),Universidad de Palermo,Universidad,de Palermo,Ministerio del Interior,IGN
34798,1,POINT(-58.400953 -34.595071),Universidad de Palermo,Universidad,de Palermo,Ministerio del Interior,IGN
34799,1,POINT(-58.414746 -34.594644),Universidad de Palermo,Universidad,de Palermo,Ministerio del Interior,IGN
34800,1,POINT(-58.414662 -34.5950379999999),Universidad de Palermo,Universidad,de Palermo,Ministerio del Interior,IGN
34801,1,POINT(-58.4177579999999 -34.596465),Universidad de Palermo,Universidad,de Palermo,Ministerio del Interior,IGN
34802,1,POINT(-58.370715 -34.596464),Universidad de Palermo,Universidad,de Palermo,Ministerio del Interior,IGN
34803,1,POINT(-58.371324 -34.6013389999999),Universidad de San Andrés Sede Capital,Universidad,de San Andrés Sede Capital,Ministerio del Interior,IGN
34804,1,POINT(-58.529928 -34.446135),Universidad de San Andrés Campus,Universidad,de San Andrés Campus,Ministerio del Interior,IGN
34805,1,POINT(-58.51859 -34.4611859999999),Universidad de San Isidro Placido Marín Sede Central,Universidad,de San Isidro Placido Marín Sede Central,Ministerio del Interior,IGN
34806,1,POINT(-65.203592 -26.829734),Universidad de San Pablo Tucumán Sede Centro,Universidad,de San Pablo Tucumán Sede Centro,Ministerio del Interior,IGN
34807,1,POINT(-65.317021 -26.869132),Universidad de San Pablo Tucumán Sede Campus,Universidad,de San Pablo Tucumán Sede Campus,Ministerio del Interior,IGN
34808,1,POINT(-65.204278 -26.8311639999999),Universidad de San Pablo Tucumán Sede Centro Cultural,Universidad,de San Pablo Tucumán Sede Centro Cultural,Ministerio del Interior,IGN
34809,1,POINT(-68.836325 -32.8899529999999),Universidad del Aconcagua Sede Central,Universidad,del Aconcagua Sede Central,Ministerio del Interior,IGN
34810,1,POINT(-68.833429 -32.889967),Universidad del Aconcagua Sede I,Universidad,del Aconcagua Sede I,Ministerio del Interior,IGN
34811,1,POINT(-68.83291 -32.8888489999999),Universidad del Aconcagua Sede II,Universidad,del Aconcagua Sede II,Ministerio del Interior,IGN
34812,1,POINT(-58.3723889999999 -34.5984759999999),Universidad del CEMA Sede Central,Universidad,del CEMA Sede Central,Ministerio del Interior,IGN
34813,1,POINT(-60.6441369999999 -32.9566179999999),Universidad del Centro Educativo Latinoamericano Sede Rosario,Universidad,del Centro Educativo Latinoamericano Sede Rosario,Ministerio del Interior,IGN
34814,1,POINT(-60.644842 -32.955863),Universidad del Centro Educativo Latinoamericano Sede Rosario,Universidad,del Centro Educativo Latinoamericano Sede Rosario,Ministerio del Interior,IGN
34815,1,POINT(-61.1617929999999 -33.041952),Universidad del Centro Educativo Latinoamericano Sede Casilda,Universidad,del Centro Educativo Latinoamericano Sede Casilda,Ministerio del Interior,IGN
34816,1,POINT(-61.966086 -33.732628),Universidad del Centro Educativo Latinoamericano Sede Venado Tuerto,Universidad,del Centro Educativo Latinoamericano Sede Venado Tuerto,Ministerio del Interior,IGN
34817,1,POINT(-60.702343 -31.644328),Universidad del Centro Educativo Latinoamericano Sede Santa Fe,Universidad,del Centro Educativo Latinoamericano Sede Santa Fe,Ministerio del Interior,IGN
34818,1,POINT(-62.107042 -32.690974),Universidad del Centro Educativo Latinoamericano Sede Marcos Juárez,Universidad,del Centro Educativo Latinoamericano Sede Marcos Juárez,Ministerio del Interior,IGN
34819,1,POINT(-58.370696 -34.6178449999999),Universidad del Cine,Universidad,del Cine,Ministerio del Interior,IGN
34820,1,POINT(-57.948995 -34.907451),Universidad del Este Rectorado,Universidad,del Este Rectorado,Ministerio del Interior,IGN
34821,1,POINT(-57.9483509999999 -34.907361),Universidad del Este Sede Académica,Universidad,del Este Sede Académica,Ministerio del Interior,IGN
34822,1,POINT(-58.391243 -34.6042899999999),Universidad del Museo Social Argentino Sede Central,Universidad,del Museo Social Argentino Sede Central,Ministerio del Interior,IGN
34823,1,POINT(-58.3888019999999 -34.605226),Universidad del Museo Social Argentino Sede Artes,Universidad,del Museo Social Argentino Sede Artes,Ministerio del Interior,IGN
34824,1,POINT(-65.299272 -26.799909),Universidad del Norte Santo Tomás de Aquino Campus Yerba Buena,Universidad,del Norte Santo Tomás de Aquino Campus Yerba Buena,Ministerio del Interior,IGN
34825,1,POINT(-65.590638 -27.345412),Universidad del Norte Santo Tomás de Aquino Campus Concepción,Universidad,del Norte Santo Tomás de Aquino Campus Concepción,Ministerio del Interior,IGN
34826,1,POINT(-58.37119 -34.61335),Universidad del Norte Santo Tomás de Aquino Campus Buenos Aires,Universidad,del Norte Santo Tomás de Aquino Campus Buenos Aires,Ministerio del Interior,IGN
34827,1,POINT(-58.3929209999999 -34.599616),Universidad del Salvador Sede  Central,Universidad,del Salvador Sede  Central,Ministerio del Interior,IGN
34828,1,POINT(-58.393021 -34.600814),Universidad del Salvador Rectorado,Universidad,del Salvador Rectorado,Ministerio del Interior,IGN
34829,1,POINT(-58.926597 -34.435102),Universidad del Salvador Delegación Pilar,Universidad,del Salvador Delegación Pilar,Ministerio del Interior,IGN
34830,1,POINT(-56.0139339999999 -28.0543479999999),Universidad del Salvador Delegación Corrientes,Universidad,del Salvador Delegación Corrientes,Ministerio del Interior,IGN
34831,1,POINT(-58.3929929999999 -34.5991769999999),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34832,1,POINT(-58.392806 -34.601355),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34833,1,POINT(-58.392395 -34.606885),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34834,1,POINT(-58.3934599999999 -34.603399),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34835,1,POINT(-58.398895 -34.6010429999999),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34836,1,POINT(-58.393292 -34.602026),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34837,1,POINT(-58.386267 -34.5969729999999),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34838,1,POINT(-58.393204 -34.6031409999999),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34839,1,POINT(-58.4008669999999 -34.6108879999999),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34840,1,POINT(-58.3915039999999 -34.601107),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34841,1,POINT(-58.391603 -34.6001249999999),Universidad del Salvador Sede CABA,Universidad,del Salvador Sede CABA,Ministerio del Interior,IGN
34842,1,POINT(-64.183823 -31.422514),Universidad Empresarial Siglo 21 Nueva Córdoba,Universidad,Empresarial Siglo 21 Nueva Córdoba,Ministerio del Interior,IGN
34843,1,POINT(-64.21629 -31.3397709999999),Universidad Empresarial Siglo 21 Campus Universitario,Universidad,Empresarial Siglo 21 Campus Universitario,Ministerio del Interior,IGN
34844,1,POINT(-60.1731169999999 -35.431789),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario 25 de Mayo Buenos Aires,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario 25 de Mayo Buenos Aires,Ministerio del Interior,IGN
34845,1,POINT(-54.743333 -27.3769369999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario 25 de Mayo,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario 25 de Mayo,Ministerio del Interior,IGN
34846,1,POINT(-60.877901 -35.4524759999999),Universidad Empresarial Siglo 21 Centro de Estudios 9 de Julio,Universidad,Empresarial Siglo 21 Centro de Estudios 9 de Julio,Ministerio del Interior,IGN
34847,1,POINT(-58.3834629999999 -34.7945149999999),Universidad Empresarial Siglo 21 Fundación de Altos Estudios Esteban Adrogué,Universidad,Empresarial Siglo 21 Fundación de Altos Estudios Esteban Adrogué,Ministerio del Interior,IGN
34848,1,POINT(-58.3604989999999 -34.664865),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Avellaneda 2,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Avellaneda 2,Ministerio del Interior,IGN
34849,1,POINT(-58.353527 -34.670423),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Avellaneda,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Avellaneda,Ministerio del Interior,IGN
34850,1,POINT(-59.86252 -36.781391),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Azul,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Azul,Ministerio del Interior,IGN
34851,1,POINT(-62.2697009999999 -38.722838),Universidad Empresarial Siglo 21 Ices Instituto de Educación Superior en Ciencias Empresariales y Sociales Bahía Blanca,Universidad,Empresarial Siglo 21 Ices Instituto de Educación Superior en Ciencias Empresariales y S*,Ministerio del Interior,IGN
34852,1,POINT(-58.2553579999999 -37.849454),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Balcarce,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Balcarce,Ministerio del Interior,IGN
34853,1,POINT(-58.386879 -34.7451599999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Banfield,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Banfield,Ministerio del Interior,IGN
34854,1,POINT(-59.514136 -33.805579),Universidad Empresarial Siglo 21 Asociación Sin Fines de Lucro Como Las Aguilas,Universidad,Empresarial Siglo 21 Asociación Sin Fines de Lucro Como Las Aguilas,Ministerio del Interior,IGN
34855,1,POINT(-58.795803 -34.3468619999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Escobar,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Escobar,Ministerio del Interior,IGN
34856,1,POINT(-58.673646 -34.5563329999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Bella Vista,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Bella Vista,Ministerio del Interior,IGN
34857,1,POINT(-58.208603 -34.762344),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Berazategui,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Berazategui,Ministerio del Interior,IGN
34858,1,POINT(-60.479032 -35.118079),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Bragado,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Bragado,Ministerio del Interior,IGN
34859,1,POINT(-58.234214 -35.174876),Universidad Empresarial Siglo 21 Compucenter Brandsen,Universidad,Empresarial Siglo 21 Compucenter Brandsen,Ministerio del Interior,IGN
34860,1,POINT(-58.383473 -34.5955119999999),Universidad Empresarial Siglo 21 Asociación Civil Centro de Altos Estudios del Mercosur,Universidad,Empresarial Siglo 21 Asociación Civil Centro de Altos Estudios del Mercosur,Ministerio del Interior,IGN
35075,1,POINT(-55.895504 -27.3651189999999),Universidad Empresarial Siglo 21 Incade,Universidad,Empresarial Siglo 21 Incade,Ministerio del Interior,IGN
34861,1,POINT(-58.454378 -34.631828),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Flores,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Flores,Ministerio del Interior,IGN
34862,1,POINT(-58.3892099999999 -34.5993999999999),Universidad Empresarial Siglo 21 Universidad Empresarial Siglo 21,Universidad,Empresarial Siglo 21 Universidad Empresarial Siglo 21,Ministerio del Interior,IGN
34863,1,POINT(-58.378501 -34.608852),Universidad Empresarial Siglo 21 Gestar Educativa (Microcentro),Universidad,Empresarial Siglo 21 Gestar Educativa (Microcentro),Ministerio del Interior,IGN
34864,1,POINT(-58.525791 -34.639061),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Liniers,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Liniers,Ministerio del Interior,IGN
34865,1,POINT(-58.4878209999999 -34.634916),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Floresta,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Floresta,Ministerio del Interior,IGN
34866,1,POINT(-58.4270119999999 -34.582238),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Palermo,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Palermo,Ministerio del Interior,IGN
34867,1,POINT(-58.477752 -34.6868519999999),Universidad Empresarial Siglo 21 Centro de Capacitación Superior,Universidad,Empresarial Siglo 21 Centro de Capacitación Superior,Ministerio del Interior,IGN
34868,1,POINT(-58.4339669999999 -34.592373),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Villa Crespo,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Villa Crespo,Ministerio del Interior,IGN
34869,1,POINT(-58.450123 -34.6286699999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Caballito 2,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Caballito 2,Ministerio del Interior,IGN
34870,1,POINT(-58.409364 -34.5939279999999),Universidad Empresarial Siglo 21 Ilvem,Universidad,Empresarial Siglo 21 Ilvem,Ministerio del Interior,IGN
34871,1,POINT(-58.482856 -34.576826),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Villa Urquiza,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Villa Urquiza,Ministerio del Interior,IGN
34872,1,POINT(-58.3624179999999 -34.637693),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario La Boca,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario La Boca,Ministerio del Interior,IGN
34873,1,POINT(-58.513168 -34.619873),Universidad Empresarial Siglo 21 Formacion Universitaria Puerta Abierta (Villa Devoto),Universidad,Empresarial Siglo 21 Formacion Universitaria Puerta Abierta (Villa Devoto),Ministerio del Interior,IGN
34874,1,POINT(-58.44053 -34.6264209999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Caballito 3,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Caballito 3,Ministerio del Interior,IGN
34875,1,POINT(-58.4197359999999 -34.6041759999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Almagro,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Almagro,Ministerio del Interior,IGN
34876,1,POINT(-58.440729 -34.5671199999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Belgrano,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Belgrano,Ministerio del Interior,IGN
34877,1,POINT(-58.9463009999999 -34.1713589999999),Universidad Empresarial Siglo 21 Instituto Superior Armonia,Universidad,Empresarial Siglo 21 Instituto Superior Armonia,Ministerio del Interior,IGN
34878,1,POINT(-58.513773 -34.8709939999999),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Canning,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Canning,Ministerio del Interior,IGN
34879,1,POINT(-58.757309 -35.057019),Universidad Empresarial Siglo 21 Centro de Aprendizaje Universitario Cañuelas,Universidad,Empresarial Siglo 21 Centro de Aprendizaje Universitario Cañuelas,Ministerio del Interior,IGN
